Code,Description
"06400","Falcon Air Express (Domestic)"
"06450","Fine Airlines Inc. (System)"
"06451","Fine Airlines Inc. (Domestic)"
"06460","Frontier Airlines Inc. (Domestic)"
"06500","Galaxy Airlines Inc. (Domestic)"
"06501","Galaxy Airlines Inc. (System)"
"06510","Gemini Air Cargo Airways (Domestic)"
"06534","Global International Airways Corp. (System)"
"06535","Global International Airways Corp. (Domestic)"
"06540","Grand Airways Inc. (Domestic)"
"06549","Great American Airways (System)"
"06550","Great American Airways (Domestic)"
"06560","Gulf Air Transport Inc. (System)"
"06561","Gulf Air Transport Inc. (Domestic)"
"06564","Gulf And Caribbean Cargo (System)"
"06565","Gulf And Caribbean Cargo (Domestic)"
"06570","Guy-America Airways Inc. (Domestic)"
"06580","Horizon Air (Domestic)"
"06610","Independent Air Inc. (System)"
"06611","Independent Air Inc. (Domestic)"
"06619","International Cargo Xpress (System)"
"06620","International Cargo Xpress (Domestic)"
"06624","Interstate Airlines Inc. (System)"
"06625","Interstate Airlines Inc. (Domestic)"
"06630","Intl Air Service Co. Ltd. (Domestic)"
"06669","Great Plains Airlines Inc. (Domestic)"
"06670","Jet America Airlines Inc. (Domestic)"
"06673","JetBlue Airways (Domestic)"
"06675","Jet Charter Service Inc. (System)"
"06676","Jet Charter Service Inc. (Domestic)"
"06677","Jet Fleet Intl. Airlines (System)"
"06678","Jet Fleet Intl. Airlines (Domestic)"
"06680","Jettrain Airlines (Domestic)"
"06681","Express One International Inc. (System)"
"06682","Express One International Inc. (Domestic)"
"06683","Kalitta Air LLC (Domestic)"
"06684","Kalitta Air LLC (System)"
"06685","Key Airlines Inc. (Domestic)"
"06687","Kitty Hawk Aircargo (System)"
"06688","Kitty Hawk Aircargo (Domestic)"
"06689","Mesa Airlines Inc. (Domestic)"
"06690","Miami Air International (Domestic)"
"06691","Miami Air International (System)"
"06692","Mesaba Airlines (Domestic)"
"06693","Midway Airlines Inc. (Domestic)"
"06694","Legend Airlines (Domestic)"
"06695","Morris Air Corporation (Domestic)"
"06696","Laker Airways Inc. (System)"
"06697","Laker Airways Inc. (Domestic)"
"06698","Lorair Ltd. (Domestic)"
"06699","Lynden Air Cargo Airlines (Domestic)"
"06700","SkyWest Airlines Inc. (Domestic)"
"06701","Millon Air Inc. (System)"
"06702","Millon Air Inc. (Domestic)"
"06705","Mid-South Aviation Inc. (Domestic)"
"06706","Midwest Airline, Inc. (Domestic)"
"06707","Midway Express Airlines (Domestic)"
"06708","Transtar Airlines Corp. (Domestic)"
"06709","Northeastern International Airways (Domestic)"
"06710","Mid Pacific Airlines Inc. (Domestic)"
"06711","Mcclain Airlines Inc. (Domestic)"
"06712","Empire Airlines Inc. (1) (Domestic)"
"06716","Midway Airlines Inc. (1) (Domestic)"
"06719","New York Air Inc. (Domestic)"
"06720","Pacific Southwest Airlines (Domestic)"
"06721","Northern Air Cargo Inc. (Domestic)"
"06722","Pilgrim Aviation & Airlines (Domestic)"
"06723","T-Bird Air Inc. (Domestic)"
"06725","Southwest Airlines Co. (Domestic)"
"06726","T-Bird Air Inc. (System)"
"06727","Orion Air (System)"
"06728","Orion Air (Domestic)"
"06729","Champion Air (Domestic)"
"06730","North American Airlines (Domestic)"
"06733","Nations Air Express Inc. (Domestic)"
"06734","Sunworld International Airways Inc. (Domestic)"
"06736","Omni Air International LLC (System)"
"06737","National Airlines (Domestic)"
"06738","Omni Air International LLC (Domestic)"
"06740","Overseas National Airways (System)"
"06743","Pacific East Air Inc. (Domestic)"
"06745","Pacific Express (Domestic)"
"06746","Florida West Airlines Inc. (System)"
"06747","Florida West Airlines Inc. (Domestic)"
"06748","Carnival Air Lines Inc. (Domestic)"
"06749","Pan American Airways Corp. (System)"
"06750","People Express Airlines Inc. (Domestic)"
"06751","Carnival Air Lines Inc. (System)"
"06752","Pan American Airways Corp. (Domestic)"
"06753","Prestige Airways (Domestic)"
"06754","Patriot Airlines Inc. (System)"
"06755","Patriot Airlines Inc. (Domestic)"
"06756","Skyworld Airlines Inc. (Domestic)"
"06757","Trans World Airways LLC (Domestic)"
"06758","Polar Air Cargo Airways (Domestic)"
"06759","Presidential Airways Inc. (Domestic)"
"06761","Private Jet Expeditions (System)"
"06762","Private Jet Expeditions (Domestic)"
"06764","Pace Airlines (System)"
"06765","Pace Airlines (Domestic)"
"06766","Pan American World Airways (Domestic)"
"06767","Panagra Airways (System)"
"06768","Panagra Airways (Domestic)"
"06769","Pro Air Inc. (Domestic)"
"06770","Regent Air Corporation (Domestic)"
"06771","Renown Aviation (System)"
"06772","Renown Aviation (Domestic)"
"06773","Reliant Airlines (System)"
"06774","Kalitta Charters II (Domestic)"
"06774 (1)","Reliant Airlines (Domestic)"
"06775","Reno Air Inc. (Domestic)"
"06776","Planet Airways (Domestic)"
"06777","Planet Airways (System)"
"06785","Royal West Airlines (Domestic)"
"06788","Royale Airlines Inc. (Domestic)"
"06789","Ryan International Airlines (System)"
"06790","Ryan International Airlines (Domestic)"
"06791","Ryan International Airlines (Domestic)"
"06792","Suncoast Airlines Inc. (System)"
"06793","Suncoast Airlines Inc. (Domestic)"
"06794","Sun Country Airlines d/b/a MN Airlines (System)"
"06795","Sun Country Airlines d/b/a MN Airlines (Domestic)"
"06796","Sun Pacific International (System)"
"06797","Sun Pacific International (Domestic)"
"06798","Sierra Pacific Airlines (Domestic)"
"06799","Sky Trek International Airlines (System)"
"06800","Skystar International Inc. (System)"
"06801","Skystar International Inc. (Domestic)"
"06802","Sky Trek International Airlines (Domestic)"
"06805","Skybus Inc. (Domestic)"
"06815","Ameristar Air Cargo (System)"
"06818","Ccair (Domestic)"
"06819","Seaborne Virgin Islands, Inc. (Domestic)"
"06820","Envoy Air (Domestic)"
"06824","Pacific International Airlines Inc. (System)"
"06825","Pacific International Airlines Inc. (Domestic)"
"06829","Rio Grande Air (Domestic)"
"06830","Spirit Air Lines (Domestic)"
"06840","Southern Air Inc. (System)"
"06841","Southern Air Inc. (Domestic)"
"06847","Sunrise Airlines Inc. (Domestic)"
"06850","Southeast Airlines (Domestic)"
"06852","Sunworld International Airlines (System)"
"06853","Sunworld International Airlines (Domestic)"
"06855","Tower Air Inc. (Domestic)"
"06860","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo (Domestic)"
"06870","The Hawaii Express Inc. (Domestic)"
"06879","Air America (System)"
"06880","Air America (Domestic)"
"06882","Sky Lease Cargo (System)"
"06883","TPI International Airways (System)"
"06884","Sky Lease Cargo (Domestic)"
"06885","TransMeridian Airlines (System)"
"06886","TransMeridian Airlines (Domestic)"
"06888","Silver Airways (Domestic)"
"06889","Trans-Air-Link Corporation (System)"
"06890","Trans-Air-Link Corporation (Domestic)"
"06891","Valley Air Express Inc. (Domestic)"
"06892","Trans American Charter (System)"
"06893","Trans American Charter (Domestic)"
"06894","Ozark Air Lines Inc. (Domestic)"
"06895","Express.Net Airlines (System)"
"06896","Express.Net Airlines (Domestic)"
"06898","Tristar Airlines Inc. (Domestic)"
"06899","Arizona Express (Domestic)"
"06900","Trans International Airlines Inc. (System)"
"06901","Friday Harbor Seaplanes (Domestic)"
"06901 (1)","Trans International Airlines Inc. (Domestic)"
"06902","Ward Air (Domestic)"
"06902 (1)","Trans Continental Airlines (System)"
"06903","Vintage Props & Jets Inc. (Domestic)"
"06903 (1)","Trans Continental Airlines (Domestic)"
"06904","Trans States Airlines (Domestic)"
"06905","Tropical Airways Inc. (System)"
"06906","Tropical Airways Inc. (Domestic)"
"06907","USAir Shuttle (Domestic)"
"06908","UFS Inc. (Domestic)"
"06909","Skyway Airlines (Domestic)"
"06910","United Parcel Service (Domestic)"
"06911","Shuttle America Corp. (Domestic)"
"06911 (1)","USA Jet Airlines Inc. (System)"
"06912","USA Jet Airlines Inc. (Domestic)"
"06913","Samoa Aviation Inc. (Domestic)"
"06914","Vanguard Airlines Inc. (Domestic)"
"06915","Universal Airlines Inc. (System)"
"06916","USAfrica Airways Inc. (Domestic)"
"06917","Potomac Air (Domestic)"
"06917 (1)","Valujet Airlines Inc. (Domestic)"
"06918","Piedmont Airlines (Domestic)"
"06918 (1)","Viscount Air Service Inc. (System)"
"06919","Viscount Air Service Inc. (Domestic)"
"06920","Pacific Island Aviation (Domestic)"
"06920 (1)","Westair Airlines Inc. (Domestic)"
"06921","USA 3000 Airlines (Domestic)"
"06922","Western Pacific Airlines (Domestic)"
"06923","Northwest Seaplanes (Domestic)"
"06924","New England Airlines Inc. (Domestic)"
"06925","Nevis Express (Domestic)"
"06925 (1)","Wilburs Inc. (Domestic)"
"06926","Mountain Bird/Salmon Air (Domestic)"
"06927","Kenmore Air Harbor (Domestic)"
"06927 (1)","Winair Inc. (Domestic)"
"06929","World Airways Inc. (System)"
"06930","World Airways Inc. (Domestic)"
"06932","Great Lakes Airlines (Domestic)"
"06933","Grand Canyon Helicopters (Domestic)"
"06934","Freedom Air (Domestic)"
"06935","Flying Boat Inc. (Domestic)"
"06936","F.S. Air Service (Domestic)"
"06940","Ellis Air Taxi Inc. (Domestic)"
"06940 (1)","Worldwide Airlines Inc. (System)"
"06941","Worldwide Airlines Inc. (Domestic)"
"06942","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines (Domest"
"06943","Regions Air, Inc. (Domestic)"
"06944","CommuteAir LLC dba CommuteAir (Domestic)"
"06945","Worldwide Airlines Services (System)"
"06946","Worldwide Airlines Services (Domestic)"
"06947","Chautauqua Airlines Inc. (Domestic)"
"06951","Boston-Maine Airways (Domestic)"
"06953","Big Sky Airlines Inc. (Domestic)"
"06954","Bemidji Airlines (Domestic)"
"06955","Atlantic Coast Jet Inc. (Domestic)"
"06956","Independence Air (Domestic)"
"06957","Island Air Hawaii (Domestic)"
"06958","Allegheny Airlines (Domestic)"
"06959","Air-Serve (Domestic)"
"06961","Air St. Thomas (Domestic)"
"06962","Air Midwest Inc. (Domestic)"
"06963","Air Excursions LLC (1) (Domestic)"
"06964","Yute Air Aka Flight Alaska (Domestic)"
"06965","Wright Air Service (Domestic)"
"06966","Seaport Airlines, Inc. (Domestic)"
"06967","Warbelow (Domestic)"
"06968","Venture Travel LLC d/b/a Taquan Air Service (Domestic)"
"06969","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service (Domestic)"
"06970","Spernak Airways Inc. (Domestic)"
"06971","Smokey Bay Air Inc. (Domestic)"
"06972","Skagway Air Service (Domestic)"
"06973","Dynamic Aviation, Inc. d/b/a Beacon (Domestic)"
"06974","Promech (Domestic)"
"06975","Peninsula Airways Inc. (Domestic)"
"06976","Olson Air Service (Domestic)"
"06977","Freedom Airlines d/b/a HP Expr (Domestic)"
"06978","Larrys Flying Service (Domestic)"
"06979","L.A.B. Flying Service Inc. (Domestic)"
"06980","Katmai Air (Domestic)"
"06981","Island Air Service (Domestic)"
"06982","Inland Aviation Services (Domestic)"
"06983","Iliamna Air Taxi (Domestic)"
"06984","Hageland Aviation Service (Domestic)"
"06985","Grant Aviation (Domestic)"
"06987","Frontier Flying Service (Domestic)"
"06989","NEW PACIFIC AIRLINES (Domestic)"
"06990","Cape Smythe Air Service (Domestic)"
"06991","Village Aviation (Domestic)"
"06992","Bering Air Inc. (Domestic)"
"06993","Bellair Inc. (1) (Domestic)"
"06994","Baker Aviation Inc. (Domestic)"
"06995","Ryan Air f/k/a Arctic Transportation (Domestic)"
"06996","Arctic Circle Air Service (Domestic)"
"06997","Kalinin Aviation LLC d/b/a Alaska Seaplanes (Domestic)"
"06999","40-Mile Air (Domestic)"
"07015","Air Midwest Inc. (Domestic)"
"07016","Florida Coastal Airlines (Domestic)"
"07018","Colgan Air (Domestic)"
"07019","Westward Airways Inc. (Domestic)"
"07020","Pacific Wings Airlines (Domestic)"
"07021","Cape Air (Domestic)"
"07022","NetJets Large Aircraft Company L.L.C. (Domestic)"
"07023","Vieques Air Link Inc. (Domestic)"
"07024","Endeavor Air Inc. (Domestic)"
"07025","Victory Air Transport Inc. (Domestic)"
"07027","Primaris Airlines Inc. (Domestic)"
"07028","PSA Airlines Inc. (Domestic)"
"07029","National Air Cargo Group Inc d/ba National Airlines (Domestic)"
"07030","Homer Air (Domestic)"
"07040","Sky West Aviation Inc. (Domestic)"
"07041","GoJet Airlines LLC d/b/a United Express (Domestic)"
"07050","MAXjet (Domestic)"
"07053","Mn Aviation, Inc. (Domestic)"
"09320","Flying Tiger Line Inc. (Domestic)"
"09739","Airlift International Inc. (System)"
"09740","Airlift International Inc. (Domestic)"
"09749","Rich International Airways (System)"
"09750","Rich International Airways (Domestic)"
"09754","Flagship Express Services (System)"
"09755","Flagship Express Services (Domestic)"
"09786","Southern Air Transport Inc. (Domestic)"
"09790","Zantop International (Domestic)"
"0A050","American Airlines Inc. (Domestic)"
"0A285","Eastern Air Lines Inc. (Domestic)"
"0A845","Trans World Airways LLC (Domestic)"
"0A875","United Air Lines Inc. (Domestic)"
"10004","Abaco Air, Ltd. (International)"
"10005","Challenge Air Luftverkehrs GmbH (International)"
"10025","Air Micronesia Inc. (Pacific)"
"10049","American Airlines Inc. (Atlantic)"
"10050","American Airlines Inc. (Latin America)"
"10052","American Airlines Inc. (Pacific)"
"10219","Continental Air Lines Inc. (Atlantic)"
"10220","Continental Air Lines Inc. (Latin America)"
"10221","Continental Air Lines Inc. (Pacific)"
"10260","Delta Air Lines Inc. (Latin America)"
"10261","Delta Air Lines Inc. (Atlantic)"
"10262","Delta Air Lines Inc. (Pacific)"
"10284","Eastern Air Lines Inc. (Atlantic)"
"10285","Eastern Air Lines Inc. (Latin America)"
